Numero;Especie;Individuo;Hoja;Area;Biomasa_g;AreaSobreBiomas;Observación
47;Ebano ;1;9;51.82441248;0.24730000000000008;209.56090772341278;
48;Ebano ;1;10;14.6681427066667;0.07040000000000002;208.35429981060648;
49;Ebano ;1;11;23.4177309422222;0.0878000000000001;266.7167533282708;
50;Ebano ;1;12;16.7808266533333;0.055299999999999905;303.45075322483416;
51;Ebano ;1;13;25.9469015111111;0.10089999999999999;257.1546234996145;
52;Ebano ;1;14;15.6468504266667;0.054199999999999804;288.6872772447741;
53;Aguacatillo;1;1;60.3823165111111;0.7138;84.5927661965692;
54;Aguacatillo;1;2;63.7871842533333;1.0495;60.77864149912653;
55;Aguacatillo;1;3;64.9280421866667;0.9768999999999999;66.46334546695333;
56;Aguacatillo;1;4;109.842217591111;1.4458000000000002;75.97331414518673;
57;Aguacatillo;1;5;67.9400074888889;0.7545000000000002;90.04639826227817;
58;Aguacatillo;1;6;104.645238737778;1.2296999999999998;85.09818552311785;
59;Aguacatillo;1;7;113.033895795556;1.5404;73.37957400386654;
60;Aguacatillo;1;8;60.8177995111111;0.76112;79.90566469296706;
61;Aguacatillo;1;10;88.8955928177778;1.0956;81.13873020972783;
62;Aguacatillo;1;11;100.211125742222;1.113;90.03695035240071;
63;Aguacatillo;1;13;67.24051068;0.7838;85.78784215361061;
64;Aguacatillo;1;14;105.4804342;1.1994;87.9443340003335;
65;Aguacatillo;1;15;94.2773741688889;1.0913;86.38996991559507;
66;Lirata;1;1;746.39463624;11.2309;66.45902253960057;
67;Lirata;1;2;593.692647737777;9.0892;65.31847112372672;
68;Lirata;1;3;410.628712791111;6.3055;65.12230795196432;
69;Lirata;1;4;400.869234102223;7.981199999999999;50.22668697717424;
70;Lirata;1;5;454.157012831111;8.3064;54.67555292679271;
71;Lirata;1;6;493.970123168889;8.3344;59.26882837023529;
72;Lirata;1;7;319.411117448889;4.6880999999999995;68.13231745246242;
73;Lirata;1;9;311.809483906666;5.4239;57.488059128425306;
74;Lirata;1;10;522.911068871111;9.9695;52.4510826893135;
75;Lirata;1;12;457.052060804445;7.597099999999999;60.161385371318666;
76;Lirata;1;13;571.103445604444;10.1539;56.24473804197835;
77;Lirata;1;14;417.096011684445;6.0004;69.51136785621708;
78;Lirata;1;15;582.161057897777;9.5101;61.2150301151173;
79;Guamo;1;2;438.874821173333;4.8154;91.13984740070045;
80;Guamo;1;3;392.15211892;3.3791;116.05223844218875;
81;Guamo;1;4;521.898884515555;4.8148;108.39471722928367;
82;Guamo;1;5;331.7903041600004;4.1415;80.11355889412059;
83;Guamo;1;7;500.29512844;6.1803;80.94997466789638;
84;Guamo;1;8;634.716078235555;7.548500000000001;84.08506037432005;
85;Guamo;1;9;519.124553146667;6.3831;81.32796809491737;
86;Guamo;1;10;235.236232035556;2.1723999999999997;108.28403242292212;
87;Guamo;1;11;254.2444377466665;3.1337;81.13234762315042;
88;Guamo;1;12;322.45139810666603;4.1012;78.62367065899396;
89;Guamo;1;13;409.12226419111096;5.476999999999999;74.69824067758097;
90;Guamo;1;14;333.279190071111;5.291600000000001;62.98268766934593;
91;Guamo;1;15;220.982497102222;2.9040000000000004;76.0959012059993;
92;Manzano de monte;1;1;472.729018697778;4.2118;112.23918958587254;
93;Manzano de monte;1;2;327.9296667199999;3.1812000000000005;103.08363721865958;
94;Manzano de monte;1;3;287.0804294222218;4.0437;70.99449252472284;
95;Manzano de monte;1;4;256.1677313911112;5.4661;46.8648088017254;
96;Manzano de monte;1;5;426.907031488889;3.7119999999999997;115.00728218989468;
97;Manzano de monte;1;6;207.277148168889;3.6692;56.49110110348005;
98;Manzano de monte;1;7;250.931612831111;2.7037000000000004;92.81044969157487;
99;Manzano de monte;1;8;261.294674542222;3.2337;80.80362264348024;
100;Manzano de monte;1;9;278.0123472;3.4584;80.3875628036086;
101;Manzano de monte;1;10;211.970042008889;2.467;85.9221897076972;
102;Manzano de monte;1;13;233.28275924;2.5473999999999997;91.57680742718067;
