Número del Individuo,Nombre común,Tipo_Hoja,Material_2.5,Material_10,Diametro,BiomasaEstimada,Altura,Area,n_Individuos
1,Abarco,Simple,0.012466666666666626,0.013666666666666716,39.0,4487.835088689853,8.12854961657177,1158.549797591111,
1,Acasia,Compuesta_bipinada,0.02216129032258074,0.021335483870967842,124.0,25561.648060434145,9.218264612091087,3345.852448066666,
2,Acasia,Compuesta_bipinada,0.013466666666666738,0.07293548387096771,86-47-77,26798.32530343667,6.722502663638702,1723.846803195556,
3,Acasia,Compuesta_bipinada,0.021361290322580717,0.030935483870967895,52-40-62-80,28009.146611835888,6.285530827627425,2371.132246973333,
4,Acasia,Compuesta_bipinada,0.039161290322580755,0.013666666666666716,128,27742.413301281682,5.159819164850667,1118.631024382222,
5,Acasia,Compuesta_bipinada,0.008466666666666844,0.02066666666666661,65-90-43,25257.480394574122,5.680132462114407,2560.106779417778,
6,Acasia,Compuesta_bipinada,0.03446129032258072,0.014666666666666606,140-48,40861.41173042744,8.419512052728908,1373.569152497778,
7,Acasia,Compuesta_bipinada,0.01546666666666674,0.022135483870967754,"87-57-74,5-103,3",44488.16753834767,8.965542866993,1240.994363884445,
8,Acasia,Compuesta_bipinada,0.03616129032258064,0.047666666666666746,61-54-77-74-70-53,46536.72255404371,8.689432706898923,2175.13242392,
9,Acasia,Compuesta_bipinada,0.01746666666666674,0.012666666666666826,142,36947.75795729789,7.896802142812189,2108.502091231111,
10,Acasia,Compuesta_bipinada,0.025627956989247358,0.032935483870967674,"67-59-57,6-68,5",29493.567712444274,8.419512052728908,,
1,Aguacate,Simple,0.009466666666666734,0.03666666666666685,79,10176.319971724577,10.58072611288203,1264.102,
2,Aguacate,Simple,0.012466666666666848,0.08033333333333337,29.5-78,13664.97120493165,12.38372703248685,,
1,Aguacatillo,Simple,0.09264516129032274,0.12093548387096775,76-34.5,13663.22656188528,10.15426611885745,837.0,
3,Almendro,Simple_grande,0.020361290322580716,0.07393548387096782,106,17684.370789714976,10.916185902543667,4655.783663324445,
2,Almendro,Simple_grande,0.009361290322580818,0.08413548387096781,95,14119.271832111552,10.14205855747842,4749.235519431112,
1,Arbol del pan,Hiper_grande_formas_raras,0.13048387096774228,0.959741935483871,162,55637.168796398764,15.173978609937961,8399.697,
2,Arbol del pan,Hiper_grande_formas_raras,0.03093333333333348,0.4896666666666669,32,3888.794229338212,4.51134982711266,,
1,Arizá,Paripinnada_tallo_hojas,0.028161290322580745,0.15560215053763482,35.5-29-11,10364.955643774283,5.038458543480214,12830.70208048,
2,Arizá,Paripinnada_tallo_hojas,0.09137849462365666,0.39057741935483903,22-19,6149.3309014300485,3.5963482062339907,,
3,Arizá,Paripinnada_tallo_hojas,0.06445053763440878,0.30353763440860226,30.5-11-25.5,9705.761004189308,5.4558809370648085,11944.36478505777,
4,Arizá,Paripinnada_tallo_hojas,0.1519623655913983,0.6249483870967747,21,3104.8287482812957,3.296949999156094,11624.42936758223,
5,Arizá,Paripinnada_tallo_hojas,0.08034516129032276,0.8610086021505379,48-25,8765.273749540707,6.082792657141333,15327.02848566667,
6,Arizá,Paripinnada_tallo_hojas,0.16449569892473137,0.48424838709677487,17-21.5,5997.531188087642,4.335686055925608,10380.92361087111,
7,Arizá,Paripinnada_tallo_hojas,0.09348387096774213,0.476644086021506,26.5,3474.7719521430017,2.7978459489299916,13165.87180440445,
8,Arizá,Paripinnada_tallo_hojas,0.08334516129032288,0.24630645161290343,27.5-29,7203.821623820533,4.906882475123913,8371.26519292,
9,Arizá,Paripinnada_tallo_hojas,0.07058387096774199,0.33747311827957027,26-25,6809.107603285432,5.125636172213079,12619.66350614222,
10,Arizá,Paripinnada_tallo_hojas,0.03332258064516136,0.24743763440860245,25-33-28,10922.02687339882,5.673518647139566,,
1,Azuceno,Simple,0.006466666666666843,0.08393548387096783,26/16/45,11316.429996380502,5.99023766591303,1432.937564226667,
2,Azuceno,Simple,0.04716129032258054,0.05566666666666675,46,5179.15389591168,5.99023766591303,1041.761859124444,
3,Azuceno,Simple,0.05862795698924761,0.036666666666666625,38,4396.914728577612,5.794918654118675,1430.101942657778,
4,Azuceno,Simple,0.11282258064516126,0.01593548387096788,30,3732.8219085444957,5.705869811818438,387.1342078088889,
5,Azuceno,Simple,0.013161290322580843,0.012935483870967879,21-12,5687.315079624331,1.7295803878086735,311.67486052,
6,Azuceno,Simple,0.03216129032258075,0.012035483870967867,25,3369.7139621387087,2.1919080964837017,329.9352541066667,
1,Bucaro,3_foliolos,0.10460645161290383,0.5721064516129035,125/52/96/101,62321.46145534028,12.15614658792244,2239.977670573334,
3,Bucaro,3_foliolos,0.10348387096774225,0.2958709677419358,184,87280.98669818419,8.75807344672109,2430.448902533334,
4,Bucaro,3_foliolos,0.16461290322580646,0.6445483870967748,286,704015.1430638162,17.340063744280958,1605.953275542223,
5,Bucaro,3_foliolos,0.03632258064516136,0.2917419354838713,119,23075.154527826584,12.835799899604634,3027.400683537778,
6,Bucaro,3_foliolos,0.04448387096774209,0.4607419354838713,125,26090.217384649604,14.72485170447186,3489.71366572,
