;Especie;Individuo;Hoja;Area(cm2,algoritmoFlorian);Biomasa(g)
106;Guamo;1;1;192,599184693333;11,0472
107;Guamo;1;2;438,874821173333;4,8154
108;Guamo;1;3;392,15211892;3,3791
109;Guamo;1;4;521,898884515555;4,8148
110;Guamo;1;5;331,7903041600004;4,1415
111;Guamo;1;6;762,997255364445;1,6482
112;Guamo;1;7;500,29512844;6,1803
113;Guamo;1;8;634,716078235555;7,548500000000001
114;Guamo;1;9;519,124553146667;6,3831
115;Guamo;1;10;235,236232035556;2,1723999999999997
116;Guamo;1;11;254,2444377466665;3,1337
117;Guamo;1;12;322,45139810666603;4,1012
118;Guamo;1;13;409,12226419111096;5,476999999999999
119;Guamo;1;14;333,279190071111;5,291600000000001
120;Guamo;1;15;220,982497102222;2,9040000000000004
121;Manzano de monte;1;1;472,729018697778;4,2118
122;Manzano de monte;1;2;327,9296667199999;3,1812000000000005
123;Manzano de monte;1;3;287,0804294222218;4,0437
124;Manzano de monte;1;4;256,1677313911112;5,4661
125;Manzano de monte;1;5;426,907031488889;3,7119999999999997
126;Manzano de monte;1;6;207,277148168889;3,6692
127;Manzano de monte;1;7;250,931612831111;2,7037000000000004
128;Manzano de monte;1;8;261,294674542222;3,2337
129;Manzano de monte;1;9;278,0123472;3,4584
130;Manzano de monte;1;10;211,970042008889;2,467
131;Manzano de monte;1;11;461,93427326222206;2,605
132;Manzano de monte;1;12;158,553948124444;6,2841
133;Manzano de monte;1;13;233,28275924;2,5473999999999997
134;Manzano de monte;1;14;333,089226293333;3,4691
135;Manzano de monte;1;15;241,85629048;5,3493
136;Naranjo;1;1;58,17794816;0,5439999999999999
137;Naranjo;1;2;37,2926852711111;0,2705000000000001
138;Naranjo;1;3;40,8103126444444;0,37370000000000003
139;Naranjo;1;4;50,5609741466667;0,4284
140;Naranjo;1;5;45,4358947911111;0,3992
141;Naranjo;1;6;47,19538948;0,4217000000000001
142;Naranjo;1;7;34,5526190666667;0,35219999999999996
143;Naranjo;1;8;21,04447404;0,18019999999999992
144;Naranjo;1;9;53,2061301466667;0,49850000000000005
145;Naranjo;1;10;30,1383626622222;0,2578999999999999
146;Naranjo;1;11;47,3496544044445;0,38260000000000005
147;Naranjo;1;12;53,8651252444445;0,4315
148;Naranjo;1;13;69,3032305688889;0,6449999999999999
149;Naranjo;1;14;27,42704192;0,17670000000000008
150;Naranjo;1;15;43,6136045288889;0,36629999999999985
151;Naranjo;2;1;22,0543644933333;0,0
152;Naranjo;2;2;35,8118280177778;0,0
153;Naranjo;2;3;31,1156366933333;0,0
154;Naranjo;2;4;19,2487070222222;0,0
155;Naranjo;2;5;25,0411685555556;0,0
156;Naranjo;2;6;26,8300538666667;0,0
157;Naranjo;2;7;14,8300061822222;0,0
158;Naranjo;2;8;28,3704808933333;0,0
159;Naranjo;2;9;17,2046250888889;0,0
160;Naranjo;2;10;16,4570280177778;0,0
161;Naranjo;2;11;16,1421182533333;0,0
162;Naranjo;2;12;13,6831267555556;0,0
163;Naranjo;2;13;13,88577868;0,0
164;Naranjo;2;14;10,8908742755556;0,0
165;Naranjo;2;15;11,6487222222222;0,0
166;Naranjo;3;1;21,4765161866667;0,0
167;Naranjo;3;2;24,2881951511111;0,0
168;Naranjo;3;3;22,9890579644444;0,0
169;Naranjo;3;4;24,9806668844444;0,0
170;Naranjo;3;5;13,8704382088889;0,0
171;Naranjo;3;6;10,1419152;0,0
172;Naranjo;3;7;17,36835236;0,0
173;Naranjo;3;8;26,6494090666667;0,0
174;Naranjo;3;9;16,4823326266667;0,0
175;Naranjo;3;10;14,1515846;0,0
176;Naranjo;3;11;16,9175288888889;0,0
177;Naranjo;3;12;13,5371772266667;0,0
178;Naranjo;3;13;14,6857053955556;0,0
179;Naranjo;3;14;12,4022691022222;0,0
180;Naranjo;3;15;9,34865513777778;0,0
181;Naranjo;4;1;33,0208658577778;0,0
182;Naranjo;4;2;33,9222260622222;0,0
183;Naranjo;4;3;32,3666736177778;0,0
184;Naranjo;4;4;27,69542848;0,0
185;Naranjo;4;5;19,4093518622222;0,0
186;Naranjo;4;6;37,9607126088889;0,0
187;Naranjo;4;7;19,4049074266667;0,0
188;Naranjo;4;8;35,4501083111111;0,0
189;Naranjo;4;9;24,40898344;0,0
190;Naranjo;4;10;14,3568171644444;0,0
191;Naranjo;4;11;20,7373061955556;0,0
192;Naranjo;4;12;13,6514422311111;0,0
193;Naranjo;4;13;17,4711478533333;0,0
194;Naranjo;4;14;10,16901192;0,0
195;Naranjo;4;15;10,4942442444444;0,0
196;Naranjo;5;1;26,03607696;0,0
197;Naranjo;5;2;22,3419624844444;0,0
198;Naranjo;5;3;51,8484267688889;0,0
199;Naranjo;5;4;24,5521372755556;0,0
200;Naranjo;5;5;23,3747202755556;0,0
201;Naranjo;5;6;23,5227486533333;0,0
202;Naranjo;5;7;24,9659715733333;0,0
203;Naranjo;5;8;33,2273170577778;0,0
204;Naranjo;5;9;38,4567689644444;0,0
205;Naranjo;5;10;24,4929259244444;0,0
206;Naranjo;5;11;24,2823170266667;0,0
207;Naranjo;5;12;29,6677542844444;0,0
208;Naranjo;5;13;24,9149322488889;0,0
209;Naranjo;5;14;17,4168827288889;0,0
210;Naranjo;5;15;31,9080365422222;0,0
211;Guayabo;1;1;48,8743108533333;0,5867999999999999
212;Guayabo;1;2;45,2866477777778;0,31600000000000006
213;Guayabo;1;3;27,6438873644444;0,6325999999999999
214;Guayabo;1;4;40,7668001866667;0,45089999999999997
215;Guayabo;1;5;48,2685772977778;0,5802999999999999
216;Guayabo;1;6;24,8608821777778;0,29370000000000007
217;Guayabo;1;7;44,1784779511111;0,5790000000000001
218;Guayabo;1;8;25,9164356222222;0,27859999999999996
